"Paper_id","Duration","Year_result","Loc_multi_results","Review_id","Group_RV","Response_var","RV_depth","RV_year","RV_trtspecifics","Response_var_units","Stat_test","Stat_type","Trt1","Trt1_int","Trt1_int2","Trt1_value","Trt2","Trt2_int","Trt2_int2","Trt2_value","significance","finelevel_group","Trt1_name","Trt1_description","Trt2_name","Trt2_description","Tillage_1","Tillage_2","Res_key","group_metric","main_group","per_change","actual_diff","sample_depth","sample_year","Tillage_1name","Tillage_2name","Tillage_compare"
154,"1989-8","0","0","Tillage","Crop Production","maize stand count","",5,"","plants/ha","LSM","mean",1,NA,NA,54100,2,NA,NA,55800,"ns","CP_NT","chisel plow and three diskings in spring","chisel plow and three diskings in spring","no-tillage","no-tillage",6,16,930,"Seedling Density (Corn)","Stand Count",3.14232902033272,1700,NA,"Years 2-5","Chisel plow","No tillage","Chisel plow - No tillage"
154,"1989-8","0","0","Tillage","Crop Production","maize stand count","",6,"","plants/ha","LSM","mean",1,NA,NA,54100,2,NA,NA,55800,"ns","CP_NT","chisel plow and three diskings in spring","chisel plow and three diskings in spring","no-tillage","no-tillage",6,16,930,"Seedling Density (Corn)","Stand Count",3.14232902033272,1700,NA,"Years 6-10","Chisel plow","No tillage","Chisel plow - No tillage"
154,"1989-8","0","0","Tillage","Crop Production","maize stand count","",7,"","plants/ha","LSM","mean",1,NA,NA,54100,2,NA,NA,55800,"ns","CP_NT","chisel plow and three diskings in spring","chisel plow and three diskings in spring","no-tillage","no-tillage",6,16,930,"Seedling Density (Corn)","Stand Count",3.14232902033272,1700,NA,"Years 6-10","Chisel plow","No tillage","Chisel plow - No tillage"
154,"1989-8","0","0","Tillage","Crop Production","maize stand count","",8,"","plants/ha","LSM","mean",1,NA,NA,54100,2,NA,NA,55800,"ns","CP_NT","chisel plow and three diskings in spring","chisel plow and three diskings in spring","no-tillage","no-tillage",6,16,930,"Seedling Density (Corn)","Stand Count",3.14232902033272,1700,NA,"Years 6-10","Chisel plow","No tillage","Chisel plow - No tillage"
154,"1989-8","0","0","Tillage","Crop Production","maize stand count","",5,"","plants/ha","LSM","mean",0,NA,NA,57500,1,NA,NA,54100,"0.05","MP_CP","moldboard plow and three diskings in spring","moldboard plow and three diskings in spring","chisel plow and three diskings in spring","chisel plow and three diskings in spring",1,6,935,"Seedling Density (Corn)","Stand Count",-5.91304347826087,-3400,NA,"Years 2-5","Moldboard plow","Chisel plow","Moldboard plow - Chisel plow"
154,"1989-8","0","0","Tillage","Crop Production","maize stand count","",6,"","plants/ha","LSM","mean",0,NA,NA,57500,1,NA,NA,54100,"0.05","MP_CP","moldboard plow and three diskings in spring","moldboard plow and three diskings in spring","chisel plow and three diskings in spring","chisel plow and three diskings in spring",1,6,935,"Seedling Density (Corn)","Stand Count",-5.91304347826087,-3400,NA,"Years 6-10","Moldboard plow","Chisel plow","Moldboard plow - Chisel plow"
154,"1989-8","0","0","Tillage","Crop Production","maize stand count","",7,"","plants/ha","LSM","mean",0,NA,NA,57500,1,NA,NA,54100,"0.05","MP_CP","moldboard plow and three diskings in spring","moldboard plow and three diskings in spring","chisel plow and three diskings in spring","chisel plow and three diskings in spring",1,6,935,"Seedling Density (Corn)","Stand Count",-5.91304347826087,-3400,NA,"Years 6-10","Moldboard plow","Chisel plow","Moldboard plow - Chisel plow"
154,"1989-8","0","0","Tillage","Crop Production","maize stand count","",8,"","plants/ha","LSM","mean",0,NA,NA,57500,1,NA,NA,54100,"0.05","MP_CP","moldboard plow and three diskings in spring","moldboard plow and three diskings in spring","chisel plow and three diskings in spring","chisel plow and three diskings in spring",1,6,935,"Seedling Density (Corn)","Stand Count",-5.91304347826087,-3400,NA,"Years 6-10","Moldboard plow","Chisel plow","Moldboard plow - Chisel plow"
154,"1989-8","0","0","Tillage","Crop Production","maize stand count","",5,"","plants/ha","LSM","mean",0,NA,NA,57500,2,NA,NA,55800,"ns","MP_NT","moldboard plow and three diskings in spring","moldboard plow and three diskings in spring","no-tillage","no-tillage",1,16,936,"Seedling Density (Corn)","Stand Count",-2.95652173913043,-1700,NA,"Years 2-5","Moldboard plow","No tillage","Moldboard plow - No tillage"
154,"1989-8","0","0","Tillage","Crop Production","maize stand count","",6,"","plants/ha","LSM","mean",0,NA,NA,57500,2,NA,NA,55800,"ns","MP_NT","moldboard plow and three diskings in spring","moldboard plow and three diskings in spring","no-tillage","no-tillage",1,16,936,"Seedling Density (Corn)","Stand Count",-2.95652173913043,-1700,NA,"Years 6-10","Moldboard plow","No tillage","Moldboard plow - No tillage"
154,"1989-8","0","0","Tillage","Crop Production","maize stand count","",7,"","plants/ha","LSM","mean",0,NA,NA,57500,2,NA,NA,55800,"ns","MP_NT","moldboard plow and three diskings in spring","moldboard plow and three diskings in spring","no-tillage","no-tillage",1,16,936,"Seedling Density (Corn)","Stand Count",-2.95652173913043,-1700,NA,"Years 6-10","Moldboard plow","No tillage","Moldboard plow - No tillage"
154,"1989-8","0","0","Tillage","Crop Production","maize stand count","",8,"","plants/ha","LSM","mean",0,NA,NA,57500,2,NA,NA,55800,"ns","MP_NT","moldboard plow and three diskings in spring","moldboard plow and three diskings in spring","no-tillage","no-tillage",1,16,936,"Seedling Density (Corn)","Stand Count",-2.95652173913043,-1700,NA,"Years 6-10","Moldboard plow","No tillage","Moldboard plow - No tillage"
154,"1989-8","0","0","Tillage","Crop Production","soybean stand count","",5,"","plants/ha","LSM","mean",0,NA,NA,270000,1,NA,NA,272000,"ns","MP_CP","moldboard plow and three diskings in spring","moldboard plow and three diskings in spring","chisel plow and three diskings in spring","chisel plow and three diskings in spring",1,6,937,"Seedling Density (Soybean)","Stand Count",0.740740740740741,2000,NA,"Years 2-5","Moldboard plow","Chisel plow","Moldboard plow - Chisel plow"
154,"1989-8","0","0","Tillage","Crop Production","soybean stand count","",6,"","plants/ha","LSM","mean",0,NA,NA,270000,1,NA,NA,272000,"ns","MP_CP","moldboard plow and three diskings in spring","moldboard plow and three diskings in spring","chisel plow and three diskings in spring","chisel plow and three diskings in spring",1,6,937,"Seedling Density (Soybean)","Stand Count",0.740740740740741,2000,NA,"Years 6-10","Moldboard plow","Chisel plow","Moldboard plow - Chisel plow"
154,"1989-8","0","0","Tillage","Crop Production","soybean stand count","",7,"","plants/ha","LSM","mean",0,NA,NA,270000,1,NA,NA,272000,"ns","MP_CP","moldboard plow and three diskings in spring","moldboard plow and three diskings in spring","chisel plow and three diskings in spring","chisel plow and three diskings in spring",1,6,937,"Seedling Density (Soybean)","Stand Count",0.740740740740741,2000,NA,"Years 6-10","Moldboard plow","Chisel plow","Moldboard plow - Chisel plow"
154,"1989-8","0","0","Tillage","Crop Production","soybean stand count","",8,"","plants/ha","LSM","mean",0,NA,NA,270000,1,NA,NA,272000,"ns","MP_CP","moldboard plow and three diskings in spring","moldboard plow and three diskings in spring","chisel plow and three diskings in spring","chisel plow and three diskings in spring",1,6,937,"Seedling Density (Soybean)","Stand Count",0.740740740740741,2000,NA,"Years 6-10","Moldboard plow","Chisel plow","Moldboard plow - Chisel plow"
154,"1989-8","0","0","Tillage","Crop Production","soybean stand count","",5,"","plants/ha","LSM","mean",0,NA,NA,270000,2,NA,NA,276000,"ns","MP_NT","moldboard plow and three diskings in spring","moldboard plow and three diskings in spring","no-tillage","no-tillage",1,16,939,"Seedling Density (Soybean)","Stand Count",2.22222222222222,6000,NA,"Years 2-5","Moldboard plow","No tillage","Moldboard plow - No tillage"
154,"1989-8","0","0","Tillage","Crop Production","soybean stand count","",6,"","plants/ha","LSM","mean",0,NA,NA,270000,2,NA,NA,276000,"ns","MP_NT","moldboard plow and three diskings in spring","moldboard plow and three diskings in spring","no-tillage","no-tillage",1,16,939,"Seedling Density (Soybean)","Stand Count",2.22222222222222,6000,NA,"Years 6-10","Moldboard plow","No tillage","Moldboard plow - No tillage"
154,"1989-8","0","0","Tillage","Crop Production","soybean stand count","",7,"","plants/ha","LSM","mean",0,NA,NA,270000,2,NA,NA,276000,"ns","MP_NT","moldboard plow and three diskings in spring","moldboard plow and three diskings in spring","no-tillage","no-tillage",1,16,939,"Seedling Density (Soybean)","Stand Count",2.22222222222222,6000,NA,"Years 6-10","Moldboard plow","No tillage","Moldboard plow - No tillage"
154,"1989-8","0","0","Tillage","Crop Production","soybean stand count","",8,"","plants/ha","LSM","mean",0,NA,NA,270000,2,NA,NA,276000,"ns","MP_NT","moldboard plow and three diskings in spring","moldboard plow and three diskings in spring","no-tillage","no-tillage",1,16,939,"Seedling Density (Soybean)","Stand Count",2.22222222222222,6000,NA,"Years 6-10","Moldboard plow","No tillage","Moldboard plow - No tillage"
154,"1989-8","0","0","Tillage","Crop Production","soybean stand count","",5,"","plants/ha","LSM","mean",1,NA,NA,272000,2,NA,NA,276000,"ns","CP_NT","chisel plow and three diskings in spring","chisel plow and three diskings in spring","no-tillage","no-tillage",6,16,940,"Seedling Density (Soybean)","Stand Count",1.47058823529412,4000,NA,"Years 2-5","Chisel plow","No tillage","Chisel plow - No tillage"
154,"1989-8","0","0","Tillage","Crop Production","soybean stand count","",6,"","plants/ha","LSM","mean",1,NA,NA,272000,2,NA,NA,276000,"ns","CP_NT","chisel plow and three diskings in spring","chisel plow and three diskings in spring","no-tillage","no-tillage",6,16,940,"Seedling Density (Soybean)","Stand Count",1.47058823529412,4000,NA,"Years 6-10","Chisel plow","No tillage","Chisel plow - No tillage"
154,"1989-8","0","0","Tillage","Crop Production","soybean stand count","",7,"","plants/ha","LSM","mean",1,NA,NA,272000,2,NA,NA,276000,"ns","CP_NT","chisel plow and three diskings in spring","chisel plow and three diskings in spring","no-tillage","no-tillage",6,16,940,"Seedling Density (Soybean)","Stand Count",1.47058823529412,4000,NA,"Years 6-10","Chisel plow","No tillage","Chisel plow - No tillage"
154,"1989-8","0","0","Tillage","Crop Production","soybean stand count","",8,"","plants/ha","LSM","mean",1,NA,NA,272000,2,NA,NA,276000,"ns","CP_NT","chisel plow and three diskings in spring","chisel plow and three diskings in spring","no-tillage","no-tillage",6,16,940,"Seedling Density (Soybean)","Stand Count",1.47058823529412,4000,NA,"Years 6-10","Chisel plow","No tillage","Chisel plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",1,"maize after maize","# plants/acre","SNK","mean",0,NA,NA,24024,2,NA,NA,22394,"0.05","MP_NT","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","no-tillage","no-tillage",1,16,5164,"Seedling Density (Corn)","Stand Count",-6.78488178488179,-1630,NA,"Year 1","Moldboard plow","No tillage","Moldboard plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",2,"maize after maize","# plants/acre","SNK","mean",0,NA,NA,24024,2,NA,NA,22394,"0.05","MP_NT","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","no-tillage","no-tillage",1,16,5164,"Seedling Density (Corn)","Stand Count",-6.78488178488179,-1630,NA,"Years 2-5","Moldboard plow","No tillage","Moldboard plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",3,"maize after maize","# plants/acre","SNK","mean",0,NA,NA,24024,2,NA,NA,22394,"0.05","MP_NT","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","no-tillage","no-tillage",1,16,5164,"Seedling Density (Corn)","Stand Count",-6.78488178488179,-1630,NA,"Years 2-5","Moldboard plow","No tillage","Moldboard plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",4,"maize after maize","# plants/acre","SNK","mean",0,NA,NA,24024,2,NA,NA,22394,"0.05","MP_NT","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","no-tillage","no-tillage",1,16,5164,"Seedling Density (Corn)","Stand Count",-6.78488178488179,-1630,NA,"Years 2-5","Moldboard plow","No tillage","Moldboard plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",5,"maize after maize","# plants/acre","SNK","mean",0,NA,NA,24024,2,NA,NA,22394,"0.05","MP_NT","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","no-tillage","no-tillage",1,16,5164,"Seedling Density (Corn)","Stand Count",-6.78488178488179,-1630,NA,"Years 2-5","Moldboard plow","No tillage","Moldboard plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",6,"maize after maize","# plants/acre","SNK","mean",0,NA,NA,24024,2,NA,NA,22394,"0.05","MP_NT","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","no-tillage","no-tillage",1,16,5164,"Seedling Density (Corn)","Stand Count",-6.78488178488179,-1630,NA,"Years 6-10","Moldboard plow","No tillage","Moldboard plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",7,"maize after maize","# plants/acre","SNK","mean",0,NA,NA,24024,2,NA,NA,22394,"0.05","MP_NT","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","no-tillage","no-tillage",1,16,5164,"Seedling Density (Corn)","Stand Count",-6.78488178488179,-1630,NA,"Years 6-10","Moldboard plow","No tillage","Moldboard plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",8,"maize after maize","# plants/acre","SNK","mean",0,NA,NA,24024,2,NA,NA,22394,"0.05","MP_NT","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","no-tillage","no-tillage",1,16,5164,"Seedling Density (Corn)","Stand Count",-6.78488178488179,-1630,NA,"Years 6-10","Moldboard plow","No tillage","Moldboard plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",9,"maize after maize","# plants/acre","SNK","mean",0,NA,NA,24024,2,NA,NA,22394,"0.05","MP_NT","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","no-tillage","no-tillage",1,16,5164,"Seedling Density (Corn)","Stand Count",-6.78488178488179,-1630,NA,"Years 6-10","Moldboard plow","No tillage","Moldboard plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",10,"maize after maize","# plants/acre","SNK","mean",0,NA,NA,24024,2,NA,NA,22394,"0.05","MP_NT","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","no-tillage","no-tillage",1,16,5164,"Seedling Density (Corn)","Stand Count",-6.78488178488179,-1630,NA,"Years 6-10","Moldboard plow","No tillage","Moldboard plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",11,"maize after maize","# plants/acre","SNK","mean",0,NA,NA,24024,2,NA,NA,22394,"0.05","MP_NT","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","no-tillage","no-tillage",1,16,5164,"Seedling Density (Corn)","Stand Count",-6.78488178488179,-1630,NA,"Years 11-15","Moldboard plow","No tillage","Moldboard plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",12,"maize after maize","# plants/acre","SNK","mean",0,NA,NA,24024,2,NA,NA,22394,"0.05","MP_NT","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","no-tillage","no-tillage",1,16,5164,"Seedling Density (Corn)","Stand Count",-6.78488178488179,-1630,NA,"Years 11-15","Moldboard plow","No tillage","Moldboard plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",13,"maize after maize","# plants/acre","SNK","mean",0,NA,NA,24024,2,NA,NA,22394,"0.05","MP_NT","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","no-tillage","no-tillage",1,16,5164,"Seedling Density (Corn)","Stand Count",-6.78488178488179,-1630,NA,"Years 11-15","Moldboard plow","No tillage","Moldboard plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",14,"maize after maize","# plants/acre","SNK","mean",0,NA,NA,24024,2,NA,NA,22394,"0.05","MP_NT","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","no-tillage","no-tillage",1,16,5164,"Seedling Density (Corn)","Stand Count",-6.78488178488179,-1630,NA,"Years 11-15","Moldboard plow","No tillage","Moldboard plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",15,"maize after maize","# plants/acre","SNK","mean",0,NA,NA,24024,2,NA,NA,22394,"0.05","MP_NT","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","no-tillage","no-tillage",1,16,5164,"Seedling Density (Corn)","Stand Count",-6.78488178488179,-1630,NA,"Years 11-15","Moldboard plow","No tillage","Moldboard plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",16,"maize after maize","# plants/acre","SNK","mean",0,NA,NA,24024,2,NA,NA,22394,"0.05","MP_NT","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","no-tillage","no-tillage",1,16,5164,"Seedling Density (Corn)","Stand Count",-6.78488178488179,-1630,NA,"Years 16-20","Moldboard plow","No tillage","Moldboard plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",17,"maize after maize","# plants/acre","SNK","mean",0,NA,NA,24024,2,NA,NA,22394,"0.05","MP_NT","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","no-tillage","no-tillage",1,16,5164,"Seedling Density (Corn)","Stand Count",-6.78488178488179,-1630,NA,"Years 16-20","Moldboard plow","No tillage","Moldboard plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",18,"maize after maize","# plants/acre","SNK","mean",0,NA,NA,24024,2,NA,NA,22394,"0.05","MP_NT","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","no-tillage","no-tillage",1,16,5164,"Seedling Density (Corn)","Stand Count",-6.78488178488179,-1630,NA,"Years 16-20","Moldboard plow","No tillage","Moldboard plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",19,"maize after maize","# plants/acre","SNK","mean",0,NA,NA,24024,2,NA,NA,22394,"0.05","MP_NT","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","no-tillage","no-tillage",1,16,5164,"Seedling Density (Corn)","Stand Count",-6.78488178488179,-1630,NA,"Years 16-20","Moldboard plow","No tillage","Moldboard plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",20,"maize after maize","# plants/acre","SNK","mean",0,NA,NA,24024,2,NA,NA,22394,"0.05","MP_NT","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","moldboard plow to 20 cm depth in fall with disking or field cultivation in spring","no-tillage","no-tillage",1,16,5164,"Seedling Density (Corn)","Stand Count",-6.78488178488179,-1630,NA,"Years 16-20","Moldboard plow","No tillage","Moldboard plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",1,"maize after maize","# plants/acre","SNK","mean",1,NA,NA,24266,2,NA,NA,22394,"0.05","CP_NT","chisel plow to 20 cm in fall, one disk and field cultivation (10 cm depth) in spring","chisel plow to 20 cm in fall, one disk and field cultivation (10 cm depth) in spring","no-tillage","no-tillage",6,16,5166,"Seedling Density (Corn)","Stand Count",-7.71449765103437,-1872,NA,"Year 1","Chisel plow","No tillage","Chisel plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",2,"maize after maize","# plants/acre","SNK","mean",1,NA,NA,24266,2,NA,NA,22394,"0.05","CP_NT","chisel plow to 20 cm in fall, one disk and field cultivation (10 cm depth) in spring","chisel plow to 20 cm in fall, one disk and field cultivation (10 cm depth) in spring","no-tillage","no-tillage",6,16,5166,"Seedling Density (Corn)","Stand Count",-7.71449765103437,-1872,NA,"Years 2-5","Chisel plow","No tillage","Chisel plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",3,"maize after maize","# plants/acre","SNK","mean",1,NA,NA,24266,2,NA,NA,22394,"0.05","CP_NT","chisel plow to 20 cm in fall, one disk and field cultivation (10 cm depth) in spring","chisel plow to 20 cm in fall, one disk and field cultivation (10 cm depth) in spring","no-tillage","no-tillage",6,16,5166,"Seedling Density (Corn)","Stand Count",-7.71449765103437,-1872,NA,"Years 2-5","Chisel plow","No tillage","Chisel plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",4,"maize after maize","# plants/acre","SNK","mean",1,NA,NA,24266,2,NA,NA,22394,"0.05","CP_NT","chisel plow to 20 cm in fall, one disk and field cultivation (10 cm depth) in spring","chisel plow to 20 cm in fall, one disk and field cultivation (10 cm depth) in spring","no-tillage","no-tillage",6,16,5166,"Seedling Density (Corn)","Stand Count",-7.71449765103437,-1872,NA,"Years 2-5","Chisel plow","No tillage","Chisel plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",5,"maize after maize","# plants/acre","SNK","mean",1,NA,NA,24266,2,NA,NA,22394,"0.05","CP_NT","chisel plow to 20 cm in fall, one disk and field cultivation (10 cm depth) in spring","chisel plow to 20 cm in fall, one disk and field cultivation (10 cm depth) in spring","no-tillage","no-tillage",6,16,5166,"Seedling Density (Corn)","Stand Count",-7.71449765103437,-1872,NA,"Years 2-5","Chisel plow","No tillage","Chisel plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",6,"maize after maize","# plants/acre","SNK","mean",1,NA,NA,24266,2,NA,NA,22394,"0.05","CP_NT","chisel plow to 20 cm in fall, one disk and field cultivation (10 cm depth) in spring","chisel plow to 20 cm in fall, one disk and field cultivation (10 cm depth) in spring","no-tillage","no-tillage",6,16,5166,"Seedling Density (Corn)","Stand Count",-7.71449765103437,-1872,NA,"Years 6-10","Chisel plow","No tillage","Chisel plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",7,"maize after maize","# plants/acre","SNK","mean",1,NA,NA,24266,2,NA,NA,22394,"0.05","CP_NT","chisel plow to 20 cm in fall, one disk and field cultivation (10 cm depth) in spring","chisel plow to 20 cm in fall, one disk and field cultivation (10 cm depth) in spring","no-tillage","no-tillage",6,16,5166,"Seedling Density (Corn)","Stand Count",-7.71449765103437,-1872,NA,"Years 6-10","Chisel plow","No tillage","Chisel plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",8,"maize after maize","# plants/acre","SNK","mean",1,NA,NA,24266,2,NA,NA,22394,"0.05","CP_NT","chisel plow to 20 cm in fall, one disk and field cultivation (10 cm depth) in spring","chisel plow to 20 cm in fall, one disk and field cultivation (10 cm depth) in spring","no-tillage","no-tillage",6,16,5166,"Seedling Density (Corn)","Stand Count",-7.71449765103437,-1872,NA,"Years 6-10","Chisel plow","No tillage","Chisel plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",9,"maize after maize","# plants/acre","SNK","mean",1,NA,NA,24266,2,NA,NA,22394,"0.05","CP_NT","chisel plow to 20 cm in fall, one disk and field cultivation (10 cm depth) in spring","chisel plow to 20 cm in fall, one disk and field cultivation (10 cm depth) in spring","no-tillage","no-tillage",6,16,5166,"Seedling Density (Corn)","Stand Count",-7.71449765103437,-1872,NA,"Years 6-10","Chisel plow","No tillage","Chisel plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",10,"maize after maize","# plants/acre","SNK","mean",1,NA,NA,24266,2,NA,NA,22394,"0.05","CP_NT","chisel plow to 20 cm in fall, one disk and field cultivation (10 cm depth) in spring","chisel plow to 20 cm in fall, one disk and field cultivation (10 cm depth) in spring","no-tillage","no-tillage",6,16,5166,"Seedling Density (Corn)","Stand Count",-7.71449765103437,-1872,NA,"Years 6-10","Chisel plow","No tillage","Chisel plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",11,"maize after maize","# plants/acre","SNK","mean",1,NA,NA,24266,2,NA,NA,22394,"0.05","CP_NT","chisel plow to 20 cm in fall, one disk and field cultivation (10 cm depth) in spring","chisel plow to 20 cm in fall, one disk and field cultivation (10 cm depth) in spring","no-tillage","no-tillage",6,16,5166,"Seedling Density (Corn)","Stand Count",-7.71449765103437,-1872,NA,"Years 11-15","Chisel plow","No tillage","Chisel plow - No tillage"
185,"1975-20","0","0","Tillage","Crop Production","maize stand count","",12,"maize after maize","# plants/acre","SNK","mean",1,NA,NA,24266,2,NA,NA,22394,"0.05","CP_NT","chisel plow to 20 cm in fall, one disk and field cultivation (10 cm depth) in spring","chisel plow to 20 cm in fall, one disk and field cultivation (10 cm depth) in spring","no-tillage","no-tillage",6,16,5166,"Seedling Density (Corn)","Stand Count",-7.71449765103437,-1872,NA,"Years 11-15","Chisel plow","No tillage","Chisel plow - No tillage"
